Name,rank,count,prop100k,cum_prop100k
Mendoza,88,242771,82.3,16377.92
Ruiz,89,238234,80.76,16458.68
Hughes,90,236271,80.1,16538.78
Price,91,235251,79.75,16618.53
Alvarez,92,233983,79.32,16697.86
Castillo,93,230420,78.11,16775.97
Sanders,94,230374,78.1,16854.07
Patel,95,229973,77.96,16932.03
Myers,96,229895,77.94,17009.97
Long,97,229374,77.76,17087.73
Ross,98,229368,77.76,17165.48
Foster,99,227764,77.21,17242.7
Jimenez,100,227118,76.99,17319.69
Powell,101,224874,76.23,17395.93
Jenkins,102,222653,75.48,17471.41
Perry,103,221741,75.17,17546.58
Russell,104,221558,75.11,17621.69
Sullivan,105,220990,74.92,17696.61
Bell,106,220599,74.78,17771.39
Coleman,107,219070,74.27,17845.66
Butler,108,218847,74.19,17919.85
Henderson,109,218393,74.04,17993.88
Barnes,110,218241,73.99,18067.87
Gonzales,111,214758,72.8,18140.67
Fisher,112,214703,72.79,18213.46
Vasquez,113,212781,72.13,18285.59
Simmons,114,210182,71.25,18356.85
Romero,115,208614,70.72,18427.57
Jordan,116,208403,70.65,18498.22
Patterson,117,205423,69.64,18567.86
Alexander,118,204621,69.37,18637.23
Hamilton,119,201746,68.39,18705.62
Graham,120,201159,68.19,18773.81
Reynolds,121,200247,67.89,18841.7
Griffin,122,198406,67.26,18908.96
Wallace,123,197276,66.88,18975.84
Moreno,124,196925,66.76,19042.6
West,125,195818,66.38,19108.98
Cole,126,195289,66.2,19175.18
Hayes,127,194246,65.85,19241.03
Bryant,128,192773,65.35,19306.39
Herrera,129,192711,65.33,19371.72
Gibson,130,190667,64.64,19436.35
Ellis,131,188968,64.06,19500.42
Tran,132,188498,63.9,19564.32
Medina,133,188497,63.9,19628.22
Aguilar,134,186512,63.23,19691.45
Stevens,135,185674,62.94,19754.39
Murray,136,184910,62.69,19817.08
Ford,137,184832,62.66,19879.74
Castro,138,184134,62.42,19942.16
Marshall,139,183922,62.35,20004.51
Owens,140,182719,61.94,20066.45
Harrison,141,181091,61.39,20127.85
Fernandez,142,180842,61.31,20189.15
Mcdonald,143,180497,61.19,20250.34
Woods,144,177425,60.15,20310.49
Washington,145,177386,60.14,20370.63
Kennedy,146,176865,59.96,20430.58
Wells,147,176230,59.74,20490.33
Vargas,148,173835,58.93,20549.26
Henry,149,170964,57.96,20607.22
Chen,150,169580,57.49,20664.71
Freeman,151,169149,57.34,20722.05
Webb,152,168878,57.25,20779.3
Tucker,153,167446,56.77,20836.06
Guzman,154,167044,56.63,20892.69
Burns,155,165925,56.25,20948.94
Crawford,156,164457,55.75,21004.69
Olson,157,164035,55.61,21060.3
Simpson,158,163181,55.32,21115.62
Porter,159,163054,55.28,21170.9
Hunter,160,162440,55.07,21225.97
Gordon,161,161833,54.86,21280.83
Mendez,162,161717,54.82,21335.65
Silva,163,161633,54.79,21390.45
Shaw,164,160400,54.38,21444.83
Snyder,165,160262,54.33,21499.16
Mason,166,160213,54.31,21553.47
Dixon,167,159480,54.06,21607.53
Munoz,168,158483,53.73,21661.26
Hunt,169,158421,53.71,21714.97
Hicks,170,158320,53.67,21768.64
Holmes,171,156780,53.15,21821.79
Palmer,172,156601,53.09,21874.88
Wagner,173,155795,52.82,21927.69
Black,174,154738,52.46,21980.15
Robertson,175,153666,52.09,22032.24
Boyd,176,153469,52.03,22084.27
Rose,177,153397,52,22136.27
Stone,178,153329,51.98,22188.25
Salazar,179,152703,51.77,22240.02
Fox,180,152334,51.64,22291.66
Warren,181,152147,51.58,22343.24
Mills,182,151942,51.51,22394.75
Meyer,183,150895,51.15,22445.9
Rice,184,149500,50.68,22496.59
Schmidt,185,147034,49.85,22546.43
Garza,186,147005,49.84,22596.27
Daniels,187,146570,49.69,22645.96
Ferguson,188,146426,49.64,22695.59
Nichols,189,145584,49.35,22744.95
Stephens,190,144646,49.04,22793.98
Soto,191,144451,48.97,22842.95
Weaver,192,143837,48.76,22891.72
Ryan,193,143452,48.63,22940.35
Gardner,194,142894,48.44,22988.79
Payne,195,142601,48.34,23037.13
Grant,196,142277,48.23,23085.37
Dunn,197,141427,47.94,23133.31
Kelley,198,140693,47.7,23181.01
Spencer,199,139951,47.44,23228.45
Hawkins,200,139751,47.38,23275.83
Arnold,201,138893,47.09,23322.91
Pierce,202,138629,47,23369.91
Vazquez,203,138322,46.89,23416.8
Hansen,204,137977,46.78,23463.58
Peters,205,137513,46.62,23510.19
Santos,206,137232,46.52,23556.72
Hart,207,137184,46.51,23603.22
Bradley,208,136720,46.35,23649.57
Knight,209,136713,46.35,23695.92
Elliott,210,135765,46.03,23741.94
Cunningham,211,135718,46.01,23787.95
Duncan,212,135187,45.83,23833.78
Armstrong,213,135044,45.78,23879.56
Hudson,214,134963,45.75,23925.32
Carroll,215,134317,45.53,23970.85
Lane,216,134227,45.5,24016.35
Riley,217,133872,45.38,24061.74
Andrews,218,133799,45.36,24107.1
Alvarado,219,133501,45.26,24152.35
Ray,220,133171,45.15,24197.5
Delgado,221,132985,45.08,24242.58
Berry,222,132812,45.02,24287.61
Perkins,223,131440,44.56,24332.17
Hoffman,224,131401,44.55,24376.71
Johnston,225,131373,44.54,24421.25
Matthews,226,131303,44.51,24465.76
Pena,227,130776,44.33,24510.1
Richards,228,130529,44.25,24554.35
Contreras,229,130164,44.13,24598.47
Willis,230,130152,44.12,24642.59
Carpenter,231,129898,44.04,24686.63
Lawrence,232,129699,43.97,24730.6
Sandoval,233,128948,43.71,24774.31
Guerrero,234,128677,43.62,24817.94
George,235,128625,43.6,24861.54
Chapman,236,127939,43.37,24904.91
Rios,237,127794,43.32,24948.24
Estrada,238,127470,43.21,24991.45
Ortega,239,127256,43.14,25034.59
Watkins,240,127083,43.08,25077.67
Greene,241,126101,42.75,25120.42
Nunez,242,125350,42.49,25162.92
Wheeler,243,125058,42.4,25205.31
Valdez,244,124995,42.37,25247.69
Harper,245,124461,42.19,25289.88
Burke,246,122877,41.66,25331.54
Larson,247,122587,41.56,25373.09
Santiago,248,122212,41.43,25414.52
Maldonado,249,121526,41.2,25455.72
Morrison,250,121130,41.06,25496.79
Franklin,251,120621,40.89,25537.68
Carlson,252,120552,40.87,25578.55
Austin,253,119706,40.58,25619.13
Dominguez,254,119304,40.44,25659.57
Carr,255,119076,40.37,25699.94
Lawson,256,119053,40.36,25740.3
Jacobs,257,118614,40.21,25780.51
Obrien,258,118557,40.19,25820.7
Lynch,259,117708,39.9,25860.6
Singh,260,116749,39.58,25900.18
Vega,261,116673,39.55,25939.74
Bishop,262,116618,39.53,25979.27
Montgomery,263,115953,39.31,26018.58
Oliver,264,115900,39.29,26057.87
Jensen,265,115679,39.22,26097.09
Harvey,266,115662,39.21,26136.3
Williamson,267,114959,38.97,26175.27
Gilbert,268,114940,38.97,26214.23
Dean,269,114030,38.66,26252.89
Sims,270,113374,38.43,26291.33
Espinoza,271,112154,38.02,26329.35
Howell,272,112041,37.98,26367.33
Li,273,111786,37.9,26405.23
Wong,274,111371,37.76,26442.98
Reid,275,111360,37.75,26480.73
Hanson,276,111144,37.68,26518.41
Le,277,110967,37.62,26556.03
Mccoy,278,110744,37.54,26593.57
Garrett,279,110697,37.53,26631.1
Burton,280,110529,37.47,26668.57
Fuller,281,110116,37.33,26705.9
Wang,282,109883,37.25,26743.15
Weber,283,109433,37.1,26780.25
Welch,284,108987,36.95,26817.2
Rojas,285,108421,36.76,26853.95
Lucas,286,107690,36.51,26890.46
Marquez,287,107533,36.45,26926.91
Fields,288,107522,36.45,26963.37
Park,289,106696,36.17,26999.54
Yang,290,106033,35.95,27035.48
Little,291,105936,35.91,27071.4
Banks,292,105833,35.88,27107.27
Padilla,293,105365,35.72,27142.99
Day,294,105091,35.63,27178.62
Walsh,295,105079,35.62,27214.24
Bowman,296,105007,35.6,27249.84
Schultz,297,104888,35.56,27285.4
Luna,298,104518,35.43,27320.83
Fowler,299,104515,35.43,27356.26
Mejia,300,104057,35.28,27391.54
Davidson,301,103930,35.23,27426.77
Acosta,302,103418,35.06,27461.83
Brewer,303,103318,35.03,27496.86
May,304,103306,35.02,27531.88
Holland,305,102538,34.76,27566.64
Juarez,306,101949,34.56,27601.2
Newman,307,101931,34.56,27635.75
Pearson,308,101836,34.52,27670.28
Curtis,309,101801,34.51,27704.79
Cortez,310,101694,34.47,27739.26
Douglas,311,101458,34.39,27773.66
Schneider,312,101290,34.34,27808
Joseph,313,100959,34.23,27842.22
Barrett,314,100104,33.94,27876.16
Navarro,315,99807,33.84,27909.99
Figueroa,316,98468,33.38,27943.38
Keller,317,98268,33.31,27976.69
Avila,318,97314,32.99,28009.68
Wade,319,97040,32.9,28042.58
Molina,320,96979,32.88,28075.45
Stanley,321,96867,32.84,28108.29
Hopkins,322,96810,32.82,28141.11
Campos,323,96111,32.58,28173.69
Barnett,324,95681,32.44,28206.13
Bates,325,95622,32.42,28238.55
Chambers,326,94988,32.2,28270.75
Caldwell,327,93944,31.85,28302.6
Beck,328,93786,31.79,28334.39
Lambert,329,93678,31.76,28366.15
Miranda,330,93628,31.74,28397.89
Byrd,331,92904,31.5,28429.38
Craig,332,92507,31.36,28460.74
Ayala,333,92463,31.35,28492.09
Lowe,334,92260,31.28,28523.37
Frazier,335,92152,31.24,28554.61
Powers,336,91970,31.18,28585.78
Neal,337,91694,31.08,28616.87
Leonard,338,91475,31.01,28647.88
Gregory,339,91384,30.98,28678.86
Carrillo,340,91129,30.89,28709.75
Sutton,341,90964,30.84,28740.59
Fleming,342,90677,30.74,28771.33
Rhodes,343,90670,30.74,28802.07
Shelton,344,90517,30.69,28832.75
Schwartz,345,90071,30.53,28863.29
Norris,346,89796,30.44,28893.73
Jennings,347,89700,30.41,28924.14
Watts,348,89649,30.39,28954.53
Duran,349,89401,30.31,28984.84
Walters,350,89376,30.3,29015.14
Cohen,351,89091,30.2,29045.34
Mcdaniel,352,88728,30.08,29075.42
Moran,353,88615,30.04,29105.46
Parks,354,88586,30.03,29135.49
Steele,355,88230,29.91,29165.4
Vaughn,356,88060,29.85,29195.25
Becker,357,87859,29.78,29225.04
Holt,358,87531,29.67,29254.71
Deleon,359,87414,29.63,29284.35
Barker,360,87162,29.55,29313.9
Terry,361,87000,29.49,29343.39
Hale,362,86618,29.36,29372.75
Leon,363,86363,29.28,29402.03
Hail,364,86240,29.24,29431.27
Benson,365,86081,29.18,29460.45
Haynes,366,85974,29.15,29489.6
Horton,367,85195,28.88,29518.48
Miles,368,84942,28.8,29547.27
Lyons,369,84516,28.65,29575.92
Pham,370,84320,28.59,29604.51
Graves,371,84179,28.54,29633.05
Bush,372,84018,28.48,29661.53
Thornton,373,83967,28.47,29689.99
Wolfe,374,83928,28.45,29718.45
Warner,375,83781,28.4,29746.85
Cabrera,376,83621,28.35,29775.2
Mckinney,377,83616,28.35,29803.54
Mann,378,83510,28.31,29831.85
Zimmerman,379,83265,28.23,29860.08
Dawson,380,83182,28.2,29888.28
Lara,381,83067,28.16,29916.44
Fletcher,382,83063,28.16,29944.6
Page,383,82992,28.13,29972.73
Mccarthy,384,82950,28.12,30000.86
Love,385,82873,28.09,30028.95
Robles,386,82458,27.95,30056.9
Cervantes,387,82161,27.85,30084.76
Solis,388,82146,27.85,30112.6
Erickson,389,82085,27.83,30140.43
Reeves,390,81978,27.79,30168.22
Chang,391,81939,27.78,30196
Klein,392,81471,27.62,30223.62
Salinas,393,81156,27.51,30251.13
Fuentes,394,81006,27.46,30278.59
Baldwin,395,80742,27.37,30305.97
Daniel,396,80526,27.3,30333.27
Simon,397,80460,27.28,30360.54
Velasquez,398,80364,27.24,30387.79
Hardy,399,80252,27.21,30414.99
Higgins,400,79803,27.05,30442.05
Aguirre,401,79517,26.96,30469
Lin,402,79508,26.95,30495.96
Cummings,403,79316,26.89,30522.85
Chandler,404,79186,26.84,30549.69
Sharp,405,78990,26.78,30576.47
Barber,406,78848,26.73,30603.2
Bowen,407,78822,26.72,30629.92
Ochoa,408,78677,26.67,30656.59
Dennis,409,78482,26.61,30683.2
Robbins,410,78381,26.57,30709.77
Liu,411,78370,26.57,30736.34
Ramsey,412,78350,26.56,30762.9
Francis,413,78327,26.55,30789.45
Griffith,414,78260,26.53,30815.98
Paul,415,78256,26.53,30842.51
Blair,416,78026,26.45,30868.96
Oconnor,417,77923,26.42,30895.38
Cardenas,418,77652,26.32,30921.7
Pacheco,419,77642,26.32,30948.02
Cross,420,77557,26.29,30974.32
Calderon,421,77085,26.13,31000.45
Quinn,422,76986,26.1,31026.55
Moss,423,76908,26.07,31052.62
Swanson,424,76897,26.07,31078.69
Chan,425,76664,25.99,31104.68
Rivas,426,76205,25.83,31130.51
Khan,427,76171,25.82,31156.34
Rodgers,428,76095,25.8,31182.13
Serrano,429,75996,25.76,31207.9
Fitzgerald,430,75356,25.55,31233.44
Rosales,431,75185,25.49,31258.93
Stevenson,432,75169,25.48,31284.41
Christensen,433,75143,25.47,31309.89
Manning,434,74949,25.41,31335.29
Gill,435,74948,25.41,31360.7
Curry,436,74919,25.4,31386.1
Mclaughlin,437,74816,25.36,31411.46
Harmon,438,74737,25.34,31436.8
Mcgee,439,74542,25.27,31462.07
Gross,440,74503,25.26,31487.33
Doyle,441,74458,25.24,31512.57
Garner,442,74324,25.2,31537.77
Newton,443,74092,25.12,31562.88
Burgess,444,73931,25.06,31587.95
Reese,445,73919,25.06,31613.01
Walton,446,73854,25.04,31638.04
Blake,447,73797,25.02,31663.06
Trujillo,448,73664,24.97,31688.03
Adkins,449,73599,24.95,31712.98
Brady,450,73145,24.8,31737.78
Goodman,451,73136,24.79,31762.57
Roman,452,72918,24.72,31787.29
Webster,453,72625,24.62,31811.91
Goodwin,454,72451,24.56,31836.48
Fischer,455,72357,24.53,31861
Huang,456,72328,24.52,31885.52
Potter,457,72175,24.47,31909.99
Delacruz,458,72109,24.45,31934.44
Montoya,459,71844,24.36,31958.79
Todd,460,71759,24.33,31983.12
Wu,461,71721,24.31,32007.43
Hines,462,71717,24.31,32031.75
Mullins,463,71646,24.29,32056.04
Castaneda,464,71368,24.19,32080.23
Malone,465,71286,24.17,32104.4
Cannon,466,71085,24.1,32128.49
Tate,467,71058,24.09,32152.58
Mack,468,71056,24.09,32176.67
Sherman,469,70502,23.9,32200.57
Hubbard,470,70362,23.85,32224.43
Hodges,471,70223,23.81,32248.23
Zhang,472,70125,23.77,32272
Guerra,473,70071,23.75,32295.76
Wolf,474,70031,23.74,32319.5
Valencia,475,70000,23.73,32343.23
Saunders,476,69943,23.71,32366.94
Franco,476,69943,23.71,32390.65
Rowe,478,69879,23.69,32414.34
Gallagher,479,69834,23.67,32438.02
Farmer,480,69617,23.6,32461.62
Hammond,481,69515,23.57,32485.18
Hampton,482,69472,23.55,32508.73
Townsend,483,69360,23.51,32532.25
Ingram,484,69345,23.51,32555.76
Wise,485,68649,23.27,32579.03
Gallegos,486,68373,23.18,32602.21
Clarke,487,68281,23.15,32625.36
Barton,488,68233,23.13,32648.49
Schroeder,489,67977,23.04,32671.53
Maxwell,490,67961,23.04,32694.57
Waters,491,67929,23.03,32717.6
Logan,492,67909,23.02,32740.62
Camacho,493,67893,23.02,32763.64
Strickland,494,67769,22.97,32786.61
Norman,495,67704,22.95,32809.56
Person,496,67411,22.85,32832.42
Colon,497,67338,22.83,32855.24
Parsons,498,67310,22.82,32878.06
Frank,499,67304,22.82,32900.88
Harrington,500,66959,22.7,32923.58
Glover,501,66858,22.67,32946.24
Osborne,502,66827,22.65,32968.9
Buchanan,503,66648,22.59,32991.49
Casey,504,66556,22.56,33014.06
Floyd,505,66454,22.53,33036.58
Patton,506,66293,22.47,33059.06
Ibarra,507,66063,22.4,33081.45
Ball,508,66059,22.39,33103.85
Tyler,509,66056,22.39,33126.24
Suarez,510,66013,22.38,33148.62
Bowers,511,66003,22.38,33171
Orozco,512,65904,22.34,33193.34
Salas,513,65468,22.19,33215.53
Cobb,514,65125,22.08,33237.61
Gibbs,515,65064,22.06,33259.67
Andrade,516,65037,22.05,33281.72
Bauer,517,65004,22.04,33303.75
Conner,518,64572,21.89,33325.64
Moody,519,64429,21.84,33347.48
Escobar,520,64403,21.83,33369.32
Mcguire,521,64327,21.81,33391.12
Lloyd,522,64202,21.76,33412.89
Mueller,523,64191,21.76,33434.65
Hartman,524,64106,21.73,33456.38
French,525,63991,21.69,33478.08
Kramer,526,63936,21.67,33499.75
Mcbride,527,63899,21.66,33521.41
Pope,528,63881,21.66,33543.07
Lindsey,529,63760,21.62,33564.68
Velazquez,530,63736,21.61,33586.29
Norton,531,63722,21.6,33607.89
Mccormick,532,63649,21.58,33629.47
Sparks,533,63440,21.51,33650.98
Flynn,534,63400,21.49,33672.47
Yates,535,63254,21.44,33693.91
Hogan,536,63085,21.39,33715.3
Marsh,537,62304,21.12,33736.42
Macias,538,62227,21.1,33757.52
Villanueva,539,61883,20.98,33778.5
Zamora,540,61729,20.93,33799.42
Pratt,541,61671,20.91,33820.33
Stokes,542,61639,20.9,33841.23
Owen,543,61630,20.89,33862.12
Ballard,544,61625,20.89,33883.01
Lang,545,61529,20.86,33903.87
Brock,546,61369,20.8,33924.67
Villarreal,547,61355,20.8,33945.47
Charles,548,61211,20.75,33966.22
Drake,549,61162,20.73,33986.96
Barrera,550,60998,20.68,34007.64
Cain,551,60948,20.66,34028.3
Patrick,552,60845,20.63,34048.93
Pineda,553,60820,20.62,34069.54
Burnett,554,60791,20.61,34090.15
Mercado,555,60761,20.6,34110.75
Santana,556,60667,20.57,34131.32
Shepherd,557,60479,20.5,34151.82
Bautista,558,60264,20.43,34172.25
Ali,559,60002,20.34,34192.59
Shaffer,560,59943,20.32,34212.91
Lamb,561,59913,20.31,34233.22
Trevino,562,59882,20.3,34253.52
Mckenzie,563,59595,20.2,34273.73
Hess,564,59486,20.17,34293.89
Beil,565,59463,20.16,34314.05
Olsen,566,59356,20.12,34334.17
Cochran,567,59350,20.12,34354.29
Morton,568,59213,20.07,34374.37
Nash,569,58714,19.9,34394.27
Wilkins,570,58634,19.88,34414.15
Petersen,571,58480,19.83,34433.97
Briggs,572,58408,19.8,34453.78
Shah,573,58287,19.76,34473.54
Roth,574,58278,19.76,34493.29
Nicholson,575,58151,19.71,34513.01
Holloway,576,58040,19.68,34532.68
Lozano,577,57779,19.59,34552.27
Rangel,578,57549,19.51,34571.78
Flowers,578,57549,19.51,34591.29
Hoover,580,57497,19.49,34610.78
Short,581,57477,19.49,34630.26
Arias,581,57477,19.49,34649.75
Mora,583,57464,19.48,34669.23
Valenzuela,584,57383,19.45,34688.68
Bryan,585,57143,19.37,34708.06
Meyers,586,57127,19.37,34727.42
Weiss,587,57112,19.36,34746.78
Underwood,588,57064,19.35,34766.13
Bass,589,57044,19.34,34785.47
Greer,590,57043,19.34,34804.8
Summers,591,56953,19.31,34824.11
Houston,592,56900,19.29,34843.4
Carson,593,56872,19.28,34862.68
Morrow,594,56840,19.27,34881.95
Clayton,595,56638,19.2,34901.15
Whitaker,596,56616,19.19,34920.34
Decker,597,56576,19.18,34939.52
Yoder,598,56410,19.12,34958.65
Collier,599,56380,19.11,34977.76
Zuniga,600,56347,19.1,34996.86
Carey,601,56322,19.09,35015.96
Wilcox,602,56286,19.08,35035.04
Melendez,603,56230,19.06,35054.1
Poole,604,56226,19.06,35073.16
Roberson,605,56180,19.05,35092.21
Larsen,606,55960,18.97,35111.18
Conley,607,55917,18.96,35130.13
Davenport,608,55895,18.95,35149.08
Copeland,609,55850,18.93,35168.02
Massey,610,55595,18.85,35186.86
Lam,611,55554,18.83,35205.7
Huff,612,55484,18.81,35224.51
Rocha,613,55251,18.73,35243.24
Cameron,614,55240,18.73,35261.96
Jefferson,615,55179,18.71,35280.67
Hood,616,55174,18.7,35299.37
Monroe,617,55136,18.69,35318.07
Anthony,618,55114,18.68,35336.75
Pittman,619,55021,18.65,35355.4
Huynh,620,54996,18.64,35374.05
Randall,621,54764,18.57,35392.61
Singleton,622,54621,18.52,35411.13
Kirk,623,54394,18.44,35429.57
Combs,624,54257,18.39,35447.96
Mathis,625,54217,18.38,35466.34
Christian,626,54198,18.37,35484.71
Skinner,627,54046,18.32,35503.04
Bradford,628,54015,18.31,35521.35
Richard,629,53893,18.27,35539.62
Galvan,630,53822,18.25,35557.86
Wall,631,53794,18.24,35576.1
Boone,632,53792,18.24,35594.34
Kirby,633,53767,18.23,35612.56
Wilkinson,634,53739,18.22,35630.78
Bridges,635,53682,18.2,35648.98
Bruce,636,53419,18.11,35667.09
Atkinson,637,53376,18.09,35685.18
Velez,638,53265,18.06,35703.24
Meza,639,53230,18.05,35721.29
Roy,640,53159,18.02,35739.31
Vincent,641,53095,18,35757.31
York,642,53059,17.99,35775.3
Hodge,643,52920,17.94,35793.24
Villa,644,52817,17.91,35811.14
Abbott,645,52739,17.88,35829.02
Allison,646,52701,17.87,35846.89
Tapia,647,52651,17.85,35864.74
Gates,648,52569,17.82,35882.56
Chase,649,52481,17.79,35900.35
Sosa,650,52457,17.78,35918.13
Sweeney,651,52410,17.77,35935.9
Farrell,652,52321,17.74,35953.64
Wyatt,653,52211,17.7,35971.34
Dalton,654,52184,17.69,35989.03
Horn,655,52138,17.68,36006.7
Barron,656,52070,17.65,36024.35
Phelps,657,52044,17.64,36042
Yu,658,52035,17.64,36059.64
Dickerson,659,51889,17.59,36077.23
Heath,660,51877,17.59,36094.81
Foley,661,51865,17.58,36112.4
Atkins,662,51671,17.52,36129.91
Mathews,663,51592,17.49,36147.4
Bonilla,664,51475,17.45,36164.85
Acevedo,665,51351,17.41,36182.26
Benitez,666,51288,17.39,36199.65
Zavala,667,51153,17.34,36216.99
Hensley,668,51081,17.32,36234.31
Glenn,669,51043,17.3,36251.61
Cisneros,670,50920,17.26,36268.87
Harrell,671,50837,17.23,36286.11
Shields,672,50832,17.23,36303.34
Rubio,673,50788,17.22,36320.56
Huffman,674,50786,17.22,36337.77
Choi,674,50786,17.22,36354.99
Boyer,676,50742,17.2,36372.19
Garrison,677,50686,17.18,36389.38
Arroyo,678,50614,17.16,36406.53
Bond,679,50610,17.16,36423.69
Kane,680,50584,17.15,36440.84
Hancock,681,50558,17.14,36457.98
Callahan,682,50524,17.13,36475.11
Dillon,683,50465,17.11,36492.22
Cline,684,50258,17.04,36509.25
Wiggins,685,50247,17.03,36526.29
Grimes,686,50245,17.03,36543.32
Arellano,687,50104,16.99,36560.31
Melton,688,50069,16.97,36577.28
Oneill,689,50028,16.96,36594.24
Savage,690,49914,16.92,36611.16
Ho,691,49817,16.89,36628.05
Beltran,692,49776,16.87,36644.92
Pitts,693,49740,16.86,36661.79
Parrish,694,49733,16.86,36678.65
Ponce,695,49549,16.8,36695.44
Rich,696,49481,16.77,36712.22
Booth,697,49402,16.75,36728.97
Koch,698,49395,16.75,36745.71
Golden,699,49360,16.73,36762.44
Ware,700,49316,16.72,36779.16
Brennan,701,49238,16.69,36795.85
Mcdowell,702,49217,16.68,36812.54
Marks,703,49177,16.67,36829.21
Cantu,704,49126,16.65,36845.86
Humphrey,705,49056,16.63,36862.5
Baxter,706,49033,16.62,36879.12
Sawyer,707,49028,16.62,36895.74
Clay,708,48844,16.56,36912.3
Tanner,709,48813,16.55,36928.84
Hutchinson,710,48781,16.54,36945.38
Kaur,711,48753,16.53,36961.91
Berg,712,48746,16.53,36978.43
Wiley,713,48720,16.52,36994.95
Gilmore,714,48719,16.52,37011.47
Russo,715,48696,16.51,37027.98
Villegas,716,48599,16.48,37044.45
Hobbs,717,48522,16.45,37060.9
Keith,718,48487,16.44,37077.34
Wilkerson,719,48444,16.42,37093.76
Ahmed,720,48319,16.38,37110.14
Beard,721,48207,16.34,37126.48
Mcclain,722,48165,16.33,37142.81
Montes,723,48142,16.32,37159.13
Mata,724,48120,16.31,37175.45
Rosario,725,48051,16.29,37191.73
Vang,726,48036,16.28,37208.02
Walter,727,48024,16.28,37224.3
Henson,728,48013,16.28,37240.58
Oneal,729,47979,16.27,37256.84
Mosley,730,47963,16.26,37273.1
Mcclure,731,47742,16.18,37289.29
Beasley,732,47693,16.17,37305.45
Stephenson,733,47641,16.15,37321.61
Snow,734,47528,16.11,37337.72
Huerta,735,47455,16.09,37353.81
Preston,736,47367,16.06,37369.86
Vance,737,47324,16.04,37385.91
Barry,738,47274,16.03,37401.93
Johns,739,47246,16.02,37417.95
Eaton,740,47184,16,37433.94
Blackwell,741,47175,15.99,37449.94
Dyer,742,47170,15.99,37465.93
Prince,743,47168,15.99,37481.92
Macdonald,744,46717,15.84,37497.76
Solomon,745,46534,15.78,37513.53
